filename,url,date,asn,country
2021021507_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210215/07/IR/urlgetter/2021021507_IR_urlgetter.n0.0.jsonl.gz,2021-02-15,AS62442,IR
2021021508_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210215/08/IR/urlgetter/2021021508_IR_urlgetter.n0.0.jsonl.gz,2021-02-15,AS62442,IR
2021021516_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210215/16/IR/urlgetter/2021021516_IR_urlgetter.n0.0.jsonl.gz,2021-02-15,AS62442,IR
2021021517_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210215/17/IR/urlgetter/2021021517_IR_urlgetter.n0.0.jsonl.gz,2021-02-15,AS62442,IR
2021021518_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210215/18/IR/urlgetter/2021021518_IR_urlgetter.n0.0.jsonl.gz,2021-02-15,AS62442,IR
2021021602_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/02/IR/urlgetter/2021021602_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021603_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/03/IR/urlgetter/2021021603_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021611_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/11/IR/urlgetter/2021021611_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021612_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/12/IR/urlgetter/2021021612_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021620_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/20/IR/urlgetter/2021021620_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021621_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210216/21/IR/urlgetter/2021021621_IR_urlgetter.n0.0.jsonl.gz,2021-02-16,AS62442,IR
2021021705_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210217/05/IR/urlgetter/2021021705_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021706_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210217/06/IR/urlgetter/2021021706_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021714_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210217/14/IR/urlgetter/2021021714_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021715_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210217/15/IR/urlgetter/2021021715_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021723_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210217/23/IR/urlgetter/2021021723_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021800_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210218/00/IR/urlgetter/2021021800_IR_urlgetter.n0.0.jsonl.gz,2021-02-17,AS62442,IR
2021021801_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210218/01/IR/urlgetter/2021021801_IR_urlgetter.n0.0.jsonl.gz,2021-02-18,AS62442,IR
2021021809_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210218/09/IR/urlgetter/2021021809_IR_urlgetter.n0.0.jsonl.gz,2021-02-18,AS62442,IR
2021021810_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210218/10/IR/urlgetter/2021021810_IR_urlgetter.n0.0.jsonl.gz,2021-02-18,AS62442,IR
